Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.573
5.07273     -0.001    -0.581
5.14651     -0.001    -0.590
5.22137     -0.001    -0.598
5.29732     -0.001    -0.607
5.37437     -0.001    -0.616
5.45254     -0.001    -0.625
5.53185     -0.001    -0.634
5.61231     -0.001    -0.643
5.69394     -0.001    -0.652
5.77676     -0.001    -0.662
5.86079     -0.001    -0.671
5.94604     -0.001    -0.681
6.03252     -0.001    -0.691
6.12027     -0.001    -0.701
6.20929     -0.001    -0.711
6.29961     -0.001    -0.722
6.39124     -0.001    -0.732
6.48420     -0.001    -0.743
6.57851     -0.001    -0.754
6.67420     -0.001    -0.765
6.77128     -0.001    -0.776
6.86977     -0.001    -0.787
6.96969     -0.002    -0.798
7.07107     -0.002    -0.810
7.17392     -0.002    -0.822
7.27827     -0.002    -0.834
7.38413     -0.002    -0.846
7.49154     -0.002    -0.858
7.60050     -0.002    -0.871
7.71105     -0.002    -0.883
7.82321     -0.002    -0.896
7.93701     -0.002    -0.909
8.05245     -0.002    -0.922
8.16958     -0.002    -0.936
8.28841     -0.002    -0.949
8.40896     -0.002    -0.963
8.53128     -0.002    -0.977
8.65537     -0.002    -0.991
8.78126     -0.002    -1.006
8.90899     -0.002    -1.020
9.03857     -0.002    -1.035
9.17004     -0.002    -1.050
9.30342     -0.002    -1.066
9.43874     -0.002    -1.081
9.57603     -0.002    -1.097
9.71532     -0.002    -1.113
9.85663     -0.002    -1.129
10.0000     -0.002    -1.145
10.1455     -0.002    -1.162
10.2930     -0.002    -1.179
10.4427     -0.002    -1.196
10.5946     -0.002    -1.214
10.7487     -0.002    -1.231
10.9051     -0.002    -1.249
11.0637     -0.002    -1.267
11.2246     -0.002    -1.286
11.3879     -0.002    -1.304
11.5535     -0.002    -1.323
11.7216     -0.002    -1.343
11.8921     -0.002    -1.362
12.0650     -0.002    -1.382
12.2405     -0.002    -1.402
12.4186     -0.002    -1.422
12.5992     -0.002    -1.443
12.7825     -0.003    -1.464
12.9684     -0.003    -1.485
13.1570     -0.003    -1.507
13.3484     -0.003    -1.529
13.5426     -0.003    -1.551
13.7395     -0.003    -1.574
13.9394     -0.003    -1.597
14.1421     -0.003    -1.620
14.3478     -0.003    -1.643
14.5565     -0.003    -1.667
14.7683     -0.003    -1.692
14.9831     -0.003    -1.716
15.2010     -0.003    -1.741
15.4221     -0.003    -1.766
15.6464     -0.003    -1.792
15.8740     -0.003    -1.818
16.1049     -0.003    -1.845
16.3392     -0.003    -1.871
16.5768     -0.003    -1.899
16.8179     -0.004    -1.926
17.0626     -0.004    -1.954
17.3107     -0.004    -1.983
17.5625     -0.004    -2.012
17.8180     -0.004    -2.041
18.0771     -0.004    -2.070
18.3401     -0.004    -2.101
18.6068     -0.004    -2.131
18.8775     -0.004    -2.162
19.1521     -0.004    -2.194
19.4306     -0.004    -2.225
19.7133     -0.004    -2.258
20.0000     -0.005    -2.291
20.2909     -0.005    -2.324
20.5860     -0.005    -2.358
20.8855     -0.005    -2.392
21.1893     -0.005    -2.427
21.4975     -0.005    -2.462
21.8102     -0.005    -2.498
22.1274     -0.005    -2.534
22.4492     -0.005    -2.571
22.7758     -0.006    -2.608
23.1071     -0.006    -2.646
23.4432     -0.006    -2.685
23.7841     -0.006    -2.724
24.1301     -0.006    -2.764
24.4811     -0.006    -2.804
24.8372     -0.006    -2.844
25.1984     -0.007    -2.886
25.5649     -0.007    -2.928
25.9368     -0.007    -2.970
26.3141     -0.007    -3.014
26.6968     -0.007    -3.057
27.0851     -0.007    -3.102
27.4791     -0.008    -3.147
27.8788     -0.008    -3.193
28.2843     -0.008    -3.239
28.6957     -0.008    -3.286
29.1131     -0.008    -3.334
29.5365     -0.009    -3.382
29.9661     -0.009    -3.432
30.4020     -0.009    -3.481
30.8442     -0.009    -3.532
31.2929     -0.010    -3.583
31.7480     -0.010    -3.635
32.2098     -0.010    -3.688
32.6783     -0.010    -3.742
33.1536     -0.011    -3.796
33.6359     -0.011    -3.851
34.1251     -0.011    -3.907
34.6215     -0.011    -3.964
35.1250     -0.012    -4.022
35.6359     -0.012    -4.080
36.1543     -0.012    -4.140
36.6802     -0.013    -4.200
37.2137     -0.013    -4.261
37.7550     -0.013    -4.323
38.3041     -0.014    -4.386
38.8613     -0.014    -4.449
39.4265     -0.015    -4.514
40.0000     -0.015    -4.580
40.5818     -0.015    -4.646
41.1721     -0.016    -4.714
41.7710     -0.016    -4.782
42.3785     -0.017    -4.852
42.9949     -0.017    -4.922
43.6203     -0.018    -4.993
44.2548     -0.018    -5.066
