Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.810
5.07273     -0.001    -0.822
5.14651     -0.001    -0.834
5.22137     -0.001    -0.846
5.29732     -0.001    -0.858
5.37437     -0.001    -0.871
5.45254     -0.001    -0.883
5.53185     -0.001    -0.896
5.61231     -0.001    -0.909
5.69394     -0.001    -0.922
5.77676     -0.001    -0.936
5.86079     -0.001    -0.949
5.94604     -0.001    -0.963
6.03252     -0.001    -0.977
6.12027     -0.001    -0.991
6.20929     -0.001    -1.006
6.29961     -0.001    -1.021
6.39124     -0.001    -1.035
6.48420     -0.001    -1.050
6.57851     -0.001    -1.066
6.67420     -0.001    -1.081
6.77128     -0.001    -1.097
6.86977     -0.001    -1.113
6.96969     -0.001    -1.129
7.07107     -0.001    -1.146
7.17392     -0.001    -1.162
7.27827     -0.001    -1.179
7.38413     -0.001    -1.196
7.49154     -0.001    -1.214
7.60050     -0.001    -1.231
7.71105     -0.001    -1.249
7.82321     -0.001    -1.267
7.93701     -0.001    -1.286
8.05245     -0.001    -1.305
8.16958     -0.001    -1.323
8.28841     -0.001    -1.343
8.40896     -0.001    -1.362
8.53128     -0.001    -1.382
8.65537     -0.001    -1.402
8.78126     -0.001    -1.423
8.90899     -0.001    -1.443
9.03857     -0.001    -1.464
9.17004     -0.001    -1.486
9.30342     -0.001    -1.507
9.43874     -0.001    -1.529
9.57603     -0.001    -1.551
9.71532     -0.001    -1.574
9.85663     -0.001    -1.597
10.0000     -0.001    -1.620
10.1455     -0.001    -1.644
10.2930     -0.001    -1.668
10.4427     -0.001    -1.692
10.5946     -0.001    -1.716
10.7487     -0.001    -1.741
10.9051     -0.001    -1.767
11.0637     -0.001    -1.792
11.2246     -0.001    -1.818
11.3879     -0.001    -1.845
11.5535     -0.001    -1.872
11.7216     -0.001    -1.899
11.8921     -0.001    -1.927
12.0650     -0.001    -1.955
12.2405     -0.001    -1.983
12.4186     -0.001    -2.012
12.5992     -0.001    -2.041
12.7825     -0.001    -2.071
12.9684     -0.001    -2.101
13.1570     -0.001    -2.132
13.3484     -0.001    -2.163
13.5426     -0.001    -2.194
13.7395     -0.001    -2.226
13.9394     -0.001    -2.258
14.1421     -0.001    -2.291
14.3478     -0.001    -2.324
14.5565     -0.001    -2.358
14.7683     -0.001    -2.393
14.9831     -0.001    -2.427
15.2010     -0.001    -2.463
15.4221     -0.001    -2.499
15.6464     -0.001    -2.535
15.8740     -0.001    -2.572
16.1049     -0.001    -2.609
16.3392     -0.001    -2.647
16.5768     -0.001    -2.686
16.8179     -0.001    -2.725
17.0626     -0.001    -2.764
17.3107     -0.001    -2.805
17.5625     -0.001    -2.845
17.8180     -0.001    -2.887
18.0771     -0.001    -2.929
18.3401     -0.001    -2.971
18.6068     -0.001    -3.015
18.8775     -0.001    -3.058
19.1521     -0.001    -3.103
19.4306     -0.001    -3.148
19.7133     -0.001    -3.194
20.0000     -0.001    -3.240
20.2909     -0.001    -3.288
20.5860     -0.001    -3.335
20.8855     -0.001    -3.384
21.1893     -0.001    -3.433
21.4975     -0.001    -3.483
21.8102     -0.001    -3.534
22.1274     -0.001    -3.585
22.4492     -0.001    -3.637
22.7758     -0.001    -3.690
23.1071     -0.001    -3.744
23.4432     -0.001    -3.798
23.7841     -0.001    -3.854
24.1301     -0.001    -3.910
24.4811     -0.001    -3.967
24.8372     -0.001    -4.024
25.1984     -0.001    -4.083
25.5649     -0.001    -4.142
25.9368     -0.001    -4.203
26.3141     -0.001    -4.264
26.6968     -0.001    -4.326
27.0851     -0.001    -4.389
27.4791     -0.001    -4.453
27.8788     -0.001    -4.517
28.2843     -0.001    -4.583
28.6957     -0.001    -4.650
29.1131     -0.001    -4.718
29.5365     -0.001    -4.786
29.9661     -0.001    -4.856
30.4020     -0.001    -4.927
30.8442     -0.001    -4.998
31.2929     -0.001    -5.071
31.7480     -0.001    -5.145
32.2098     -0.001    -5.220
32.6783     -0.001    -5.296
33.1536     -0.001    -5.373
33.6359     -0.001    -5.451
34.1251     -0.001    -5.530
34.6215     -0.001    -5.611
35.1250     -0.001    -5.693
35.6359     -0.001    -5.775
36.1543     -0.001    -5.859
36.6802     -0.001    -5.945
37.2137     -0.001    -6.031
37.7550     -0.001    -6.119
38.3041     -0.001    -6.208
38.8613     -0.001    -6.299
39.4265     -0.001    -6.390
40.0000     -0.001    -6.483
40.5818     -0.001    -6.578
41.1721     -0.001    -6.674
41.7710     -0.001    -6.771
42.3785     -0.001    -6.869
42.9949     -0.001    -6.969
43.6203     -0.001    -7.071
44.2548     -0.001    -7.174
44.8985     -0.001    -7.278
45.5515     -0.001    -7.384
46.2141     -0.001    -7.492
46.8863     -0.001    -7.601
47.5683     -0.001    -7.712
48.2602     -0.001    -7.824
48.9621     -0.001    -7.938
49.6743     -0.001    -8.054
50.3968     -0.001    -8.171
51.1299     -0.001    -8.290
51.8736     -0.001    -8.411
52.6281     -0.001    -8.533
53.3936     -0.001    -8.658
54.1702     -0.001    -8.784
54.9581     -0.001    -8.912
55.7575     -0.001    -9.042
56.5685     -0.001    -9.174
57.3914     -0.001    -9.307
58.2261     -0.001    -9.443
59.0730     -0.001    -9.581
59.9323     -0.001    -9.721
60.8040     -0.001    -9.862
61.6884     -0.001   -10.006
62.5857     -0.001   -10.152
63.4960     -0.001   -10.300
64.4196     -0.001   -10.450
65.3566     -0.001   -10.603
66.3073     -0.001   -10.757
67.2717     -0.001   -10.914
68.2502     -0.001   -11.074
69.2429     -0.001   -11.235
70.2501     -0.001   -11.399
71.2719     -0.001   -11.565
72.3086     -0.001   -11.734
73.3603     -0.001   -11.905
74.4274     -0.001   -12.079
75.5099     -0.001   -12.256
76.6083     -0.001   -12.435
77.7226     -0.001   -12.616
78.8531     -0.001   -12.800
80.0000     -0.001   -12.987
81.1636     -0.001   -13.177
82.3442     -0.001   -13.370
83.5419     -0.002   -13.565
84.7570     -0.002   -13.763
85.9899     -0.002   -13.964
87.2406     -0.002   -14.168
88.5096     -0.002   -14.376
89.7970     -0.002   -14.586
91.1031     -0.002   -14.799
92.4282     -0.002   -15.016
93.7726     -0.002   -15.235
95.1366     -0.002   -15.458
96.5204     -0.002   -15.684
97.9243     -0.002   -15.914
99.3486     -0.002   -16.147
100.794     -0.002   -16.383
102.260     -0.002   -16.623
103.747     -0.002   -16.867
105.256     -0.002   -17.114
106.787     -0.002   -17.365
108.340     -0.002   -17.619
109.916     -0.002   -17.877
111.515     -0.002   -18.140
113.137     -0.003   -18.406
114.783     -0.003   -18.676
116.452     -0.003   -18.950
118.146     -0.003   -19.228
119.865     -0.003   -19.510
121.608     -0.003   -19.797
123.377     -0.003   -20.087
125.171     -0.003   -20.382
126.992     -0.003   -20.682
128.839     -0.003   -20.986
130.713     -0.004   -21.295
132.615     -0.004   -21.608
134.543     -0.004   -21.926
136.500     -0.004   -22.249
138.486     -0.004   -22.576
140.500     -0.004   -22.909
142.544     -0.005   -23.246
144.617     -0.005   -23.589
146.721     -0.005   -23.937
148.855     -0.005   -24.290
151.020     -0.006   -24.648
153.217     -0.006   -25.012
155.445     -0.006   -25.382
157.706     -0.006   -25.757
160.000     -0.007   -26.137
162.327     -0.007   -26.524
164.688     -0.007   -26.916
167.084     -0.008   -27.315
169.514     -0.008   -27.719
171.980     -0.009   -28.130
174.481     -0.009   -28.547
177.019     -0.010   -28.971
179.594     -0.010   -29.401
182.206     -0.011   -29.837
184.856     -0.011   -30.280
187.545     -0.012   -30.731
190.273     -0.012   -31.188
193.041     -0.013   -31.652
195.849     -0.014   -32.123
198.697     -0.015   -32.602
201.587     -0.015   -33.088
204.520     -0.016   -33.582
207.494     -0.017   -34.083
210.512     -0.018   -34.593
213.574     -0.019   -35.110
216.681     -0.020   -35.635
219.833     -0.021   -36.169
223.030     -0.023   -36.711
226.274     -0.024   -37.262
229.565     -0.025   -37.821
232.905     -0.027   -38.390
236.292     -0.028   -38.967
239.729     -0.030   -39.553
243.216     -0.031   -40.149
246.754     -0.033   -40.754
250.343     -0.035   -41.369
253.984     -0.037   -41.994
257.678     -0.039   -42.629
261.426     -0.042   -43.274
265.229     -0.044   -43.930
269.087     -0.046   -44.596
273.001     -0.049   -45.273
276.972     -0.052   -45.961
281.000     -0.055   -46.660
285.088     -0.058   -47.371
289.234     -0.062   -48.093
293.441     -0.065   -48.827
297.709     -0.069   -49.574
302.040     -0.073   -50.332
306.433     -0.077   -51.103
310.890     -0.082   -51.887
315.412     -0.087   -52.684
320.000     -0.092   -53.494
324.655     -0.097   -54.317
329.377     -0.103   -55.155
334.168     -0.109   -56.006
339.028     -0.115   -56.871
343.959     -0.122   -57.751
348.962     -0.129   -58.646
354.038     -0.136   -59.556
359.188     -0.144   -60.482
364.412     -0.153   -61.423
369.713     -0.162   -62.380
375.090     -0.171   -63.353
380.546     -0.181   -64.343
386.081     -0.192   -65.350
391.697     -0.203   -66.374
397.394     -0.215   -67.416
403.175     -0.227   -68.475
409.039     -0.241   -69.553
414.989     -0.255   -70.649
421.025     -0.270   -71.763
427.149     -0.285   -72.897
