Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.573
5.07273     -0.001    -0.581
5.14651     -0.001    -0.590
5.22137     -0.001    -0.598
5.29732     -0.001    -0.607
5.37437     -0.001    -0.616
5.45254     -0.001    -0.625
5.53185     -0.001    -0.634
5.61231     -0.001    -0.643
5.69394     -0.001    -0.652
5.77676     -0.001    -0.662
5.86079     -0.001    -0.671
5.94604     -0.001    -0.681
6.03252     -0.001    -0.691
6.12027     -0.001    -0.701
6.20929     -0.001    -0.711
6.29961     -0.001    -0.722
6.39124     -0.001    -0.732
6.48420     -0.001    -0.743
6.57851     -0.001    -0.754
6.67420     -0.001    -0.765
6.77128     -0.001    -0.776
6.86977     -0.001    -0.787
6.96969     -0.001    -0.798
7.07107     -0.001    -0.810
7.17392     -0.001    -0.822
7.27827     -0.001    -0.834
7.38413     -0.001    -0.846
7.49154     -0.001    -0.858
7.60050     -0.001    -0.871
7.71105     -0.001    -0.883
7.82321     -0.001    -0.896
7.93701     -0.001    -0.909
8.05245     -0.001    -0.922
8.16958     -0.001    -0.936
8.28841     -0.001    -0.949
8.40896     -0.001    -0.963
8.53128     -0.001    -0.977
8.65537     -0.001    -0.991
8.78126     -0.001    -1.006
8.90899     -0.001    -1.021
9.03857     -0.001    -1.035
9.17004     -0.001    -1.050
9.30342     -0.001    -1.066
9.43874     -0.001    -1.081
9.57603     -0.001    -1.097
9.71532     -0.001    -1.113
9.85663     -0.001    -1.129
10.0000     -0.001    -1.146
10.1455     -0.001    -1.162
10.2930     -0.001    -1.179
10.4427     -0.001    -1.196
10.5946     -0.001    -1.214
10.7487     -0.001    -1.231
10.9051     -0.001    -1.249
11.0637     -0.001    -1.267
11.2246     -0.001    -1.286
11.3879     -0.001    -1.304
11.5535     -0.001    -1.323
11.7216     -0.001    -1.343
11.8921     -0.001    -1.362
12.0650     -0.001    -1.382
12.2405     -0.001    -1.402
12.4186     -0.001    -1.423
12.5992     -0.001    -1.443
12.7825     -0.001    -1.464
12.9684     -0.001    -1.486
13.1570     -0.001    -1.507
13.3484     -0.001    -1.529
13.5426     -0.001    -1.551
13.7395     -0.001    -1.574
13.9394     -0.001    -1.597
14.1421     -0.001    -1.620
14.3478     -0.001    -1.644
14.5565     -0.001    -1.667
14.7683     -0.001    -1.692
14.9831     -0.001    -1.716
15.2010     -0.001    -1.741
15.4221     -0.001    -1.767
15.6464     -0.001    -1.792
15.8740     -0.001    -1.818
16.1049     -0.001    -1.845
16.3392     -0.001    -1.872
16.5768     -0.001    -1.899
16.8179     -0.001    -1.927
17.0626     -0.001    -1.955
17.3107     -0.001    -1.983
17.5625     -0.001    -2.012
17.8180     -0.001    -2.041
18.0771     -0.001    -2.071
18.3401     -0.001    -2.101
18.6068     -0.001    -2.132
18.8775     -0.001    -2.163
19.1521     -0.001    -2.194
19.4306     -0.001    -2.226
19.7133     -0.001    -2.258
20.0000     -0.001    -2.291
20.2909     -0.001    -2.324
20.5860     -0.001    -2.358
20.8855     -0.001    -2.393
21.1893     -0.001    -2.427
21.4975     -0.001    -2.463
21.8102     -0.001    -2.499
22.1274     -0.001    -2.535
22.4492     -0.001    -2.572
22.7758     -0.001    -2.609
23.1071     -0.001    -2.647
23.4432     -0.001    -2.686
23.7841     -0.001    -2.725
24.1301     -0.001    -2.764
24.4811     -0.001    -2.805
24.8372     -0.001    -2.845
25.1984     -0.001    -2.887
25.5649     -0.001    -2.929
25.9368     -0.001    -2.971
26.3141     -0.001    -3.015
26.6968     -0.001    -3.058
27.0851     -0.001    -3.103
27.4791     -0.001    -3.148
27.8788     -0.001    -3.194
28.2843     -0.001    -3.240
28.6957     -0.001    -3.288
29.1131     -0.001    -3.335
29.5365     -0.001    -3.384
29.9661     -0.001    -3.433
30.4020     -0.001    -3.483
30.8442     -0.001    -3.534
31.2929     -0.001    -3.585
31.7480     -0.001    -3.637
32.2098     -0.001    -3.690
32.6783     -0.001    -3.744
33.1536     -0.001    -3.798
33.6359     -0.001    -3.854
34.1251     -0.001    -3.910
34.6215     -0.001    -3.967
35.1250     -0.001    -4.024
35.6359     -0.001    -4.083
36.1543     -0.001    -4.142
36.6802     -0.001    -4.203
37.2137     -0.001    -4.264
37.7550     -0.001    -4.326
38.3041     -0.001    -4.389
38.8613     -0.001    -4.453
39.4265     -0.001    -4.517
40.0000     -0.001    -4.583
40.5818     -0.001    -4.650
41.1721     -0.001    -4.718
41.7710     -0.001    -4.786
42.3785     -0.001    -4.856
42.9949     -0.001    -4.927
43.6203     -0.001    -4.998
44.2548     -0.001    -5.071
