Freq[Hz]     dBSPL  Phase[Deg]
106.787     -0.001   -16.008
108.340     -0.001   -16.241
109.916     -0.001   -16.478
111.515     -0.001   -16.719
113.137     -0.001   -16.963
114.783     -0.001   -17.211
116.452     -0.001   -17.462
118.146     -0.001   -17.717
119.865     -0.001   -17.976
121.608     -0.001   -18.238
123.377     -0.001   -18.505
125.171     -0.001   -18.775
126.992     -0.001   -19.049
128.839     -0.001   -19.328
130.713     -0.001   -19.610
132.615     -0.001   -19.897
134.543     -0.001   -20.188
136.500     -0.001   -20.483
138.486     -0.001   -20.782
140.500     -0.001   -21.086
142.544     -0.001   -21.395
144.617     -0.001   -21.708
146.721     -0.001   -22.025
148.855     -0.001   -22.348
151.020     -0.001   -22.675
153.217     -0.001   -23.007
155.445     -0.001   -23.344
157.706     -0.001   -23.686
160.000     -0.001   -24.033
162.327     -0.001   -24.385
164.688     -0.001   -24.742
167.084     -0.001   -25.105
169.514     -0.001   -25.473
171.980     -0.001   -25.847
174.481     -0.001   -26.226
177.019     -0.001   -26.611
179.594     -0.001   -27.002
182.206     -0.001   -27.398
184.856     -0.001   -27.800
187.545     -0.001   -28.209
190.273     -0.001   -28.623
193.041     -0.001   -29.044
195.849     -0.001   -29.471
198.697     -0.001   -29.905
201.587     -0.001   -30.345
204.520     -0.001   -30.792
207.494     -0.001   -31.245
210.512     -0.001   -31.705
213.574     -0.001   -32.173
216.681     -0.001   -32.647
219.833     -0.001   -33.128
223.030     -0.001   -33.617
226.274     -0.001   -34.114
229.565     -0.001   -34.617
232.905     -0.001   -35.129
236.292     -0.001   -35.648
239.729     -0.001   -36.175
243.216     -0.001   -36.711
246.754     -0.001   -37.254
250.343     -0.001   -37.806
253.984     -0.001   -38.367
257.678     -0.001   -38.936
261.426     -0.001   -39.514
265.229     -0.001   -40.100
269.087     -0.001   -40.696
273.001     -0.001   -41.301
276.972     -0.001   -41.916
281.000     -0.001   -42.540
285.088     -0.001   -43.174
289.234     -0.001   -43.818
293.441     -0.001   -44.472
297.709     -0.001   -45.137
302.040     -0.001   -45.812
306.433     -0.001   -46.497
310.890     -0.001   -47.194
315.412     -0.002   -47.901
320.000     -0.002   -48.620
324.655     -0.002   -49.351
329.377     -0.002   -50.093
334.168     -0.002   -50.847
339.028     -0.002   -51.614
343.959     -0.002   -52.393
348.962     -0.002   -53.184
354.038     -0.002   -53.989
359.188     -0.002   -54.807
364.412     -0.002   -55.638
369.713     -0.003   -56.484
375.090     -0.003   -57.343
380.546     -0.003   -58.217
386.081     -0.003   -59.105
391.697     -0.004   -60.009
397.394     -0.004   -60.928
403.175     -0.004   -61.863
409.039     -0.005   -62.814
414.989     -0.005   -63.781
421.025     -0.005   -64.765
427.149     -0.006   -65.767
433.362     -0.007   -66.786
439.665     -0.007   -67.824
446.060     -0.008   -68.880
452.548     -0.009   -69.955
459.131     -0.010   -71.049
465.809     -0.011   -72.164
472.584     -0.012   -73.299
479.458     -0.013   -74.455
486.432     -0.015   -75.633
493.507     -0.016   -76.834
500.686     -0.018   -78.057
507.968     -0.020   -79.304
515.357     -0.023   -80.576
522.853     -0.025   -81.872
530.458     -0.028   -83.194
538.174     -0.032   -84.542
546.002     -0.035   -85.918
553.943     -0.039   -87.322
562.001     -0.044   -88.755
570.175     -0.049   -90.219
578.469     -0.055   -91.713
586.883     -0.062   -93.238
595.419     -0.069   -94.797
604.080     -0.077   -96.390
612.866     -0.087   -98.018
621.780     -0.097   -99.683
630.824     -0.109  -101.384
640.000     -0.122  -103.125
649.309     -0.136  -104.905
658.753     -0.152  -106.726
668.335     -0.170  -108.590
678.056     -0.191  -110.498
687.919     -0.213  -112.450
697.925     -0.239  -114.449
708.077     -0.267  -116.496
718.376     -0.298  -118.591
728.825     -0.334  -120.736
739.426     -0.373  -122.931
750.181     -0.416  -125.179
761.093     -0.464  -127.480
772.163     -0.518  -129.834
783.394     -0.577  -132.242
794.789     -0.642  -134.705
806.349     -0.715  -137.221
818.078     -0.795  -139.792
829.977     -0.883  -142.416
842.050     -0.979  -145.092
854.298     -1.085  -147.818
866.724     -1.201  -150.594
879.330     -1.328  -153.417
892.120     -1.466  -156.283
905.097     -1.615  -159.189
918.262     -1.778  -162.132
931.618     -1.953  -165.107
945.169     -2.141  -168.110
958.917     -2.343  -171.135
972.864     -2.560  -174.178
987.015     -2.790  -177.231
1001.37     -3.036   179.710
1015.94     -3.295   176.651
1030.71     -3.569   173.599
1045.71     -3.858   170.559
1060.92     -4.160   167.537
1076.35     -4.477   164.539
1092.00     -4.806   161.569
1107.89     -5.149   158.631
1124.00     -5.503   155.731
1140.35     -5.870   152.872
1156.94     -6.247   150.058
1173.77     -6.636   147.290
1190.84     -7.034   144.571
1208.16     -7.441   141.904
1225.73     -7.857   139.288
1243.56     -8.281   136.727
1261.65     -8.712   134.219
1280.00     -9.150   131.765
1298.62     -9.594   129.366
1317.51    -10.044   127.021
1336.67    -10.499   124.728
1356.11    -10.959   122.489
1375.84    -11.423   120.301
1395.85    -11.891   118.164
1416.15    -12.363   116.076
1436.75    -12.838   114.038
1457.65    -13.315   112.046
1478.85    -13.796   110.100
1500.36    -14.278   108.199
1522.19    -14.763   106.342
1544.33    -15.250   104.527
1566.79    -15.738   102.752
1589.58    -16.228   101.017
1612.70    -16.720    99.321
1636.16    -17.212    97.662
1659.95    -17.706    96.039
1684.10    -18.201    94.451
1708.60    -18.696    92.896
1733.45    -19.193    91.374
1758.66    -19.690    89.884
1784.24    -20.188    88.425
1810.19    -20.686    86.996
1836.52    -21.185    85.595
1863.24    -21.684    84.222
1890.34    -22.184    82.877
1917.83    -22.684    81.558
1945.73    -23.185    80.264
1974.03    -23.686    78.996
2002.74    -24.187    77.751
2031.87    -24.688    76.530
2061.43    -25.190    75.332
2091.41    -25.692    74.156
2121.83    -26.194    73.001
2152.69    -26.696    71.868
2184.01    -27.199    70.755
2215.77    -27.701    69.662
2248.00    -28.204    68.588
2280.70    -28.707    67.533
2313.87    -29.210    66.497
2347.53    -29.713    65.479
2381.68    -30.217    64.479
2416.32    -30.720    63.495
2451.46    -31.224    62.528
2487.12    -31.727    61.578
2523.30    -32.231    60.644
2560.00    -32.735    59.725
2597.24    -33.239    58.822
2635.01    -33.743    57.934
2673.34    -34.247    57.060
2712.23    -34.751    56.201
2751.68    -35.256    55.356
2791.70    -35.760    54.524
2832.31    -36.265    53.706
2873.50    -36.770    52.901
2915.30    -37.274    52.109
2957.70    -37.779    51.330
3000.72    -38.284    50.563
3044.37    -38.789    49.808
3088.65    -39.294    49.065
3133.58    -39.800    48.334
3179.16    -40.305    47.615
3225.40    -40.811    46.906
3272.31    -41.316    46.209
3319.91    -41.822    45.522
3368.20    -42.328    44.846
3417.19    -42.834    44.181
3466.89    -43.340    43.525
3517.32    -43.847    42.880
3568.48    -44.353    42.245
3620.39    -44.860    41.619
3673.05    -45.366    41.003
3726.47    -45.873    40.397
3780.67    -46.380    39.799
3835.67    -46.888    39.211
3891.46    -47.395    38.631
3948.06    -47.902    38.060
4005.49    -48.410    37.498
4063.75    -48.918    36.944
4122.86    -49.426    36.398
4182.82    -49.934    35.861
4243.66    -50.443    35.331
4305.39    -50.951    34.810
4368.01    -51.460    34.296
4431.55    -51.969    33.790
4496.01    -52.479    33.291
4561.40    -52.988    32.799
4627.75    -53.498    32.315
4695.06    -54.008    31.838
4763.35    -54.518    31.368
4832.64    -55.028    30.905
4902.93    -55.539    30.449
4974.24    -56.050    29.999
5046.60    -56.561    29.556
5120.00    -57.073    29.119
5194.47    -57.585    28.689
5270.03    -58.097    28.265
5346.68    -58.609    27.847
5424.45    -59.122    27.435
5503.35    -59.635    27.029
5583.40    -60.149    26.629
5664.61    -60.663    26.235
5747.01    -61.177    25.846
5830.60    -61.691    25.463
5915.41    -62.206    25.085
6001.45    -62.721    24.713
6088.74    -63.237    24.346
6177.30    -63.753    23.985
6267.15    -64.270    23.628
6358.31    -64.787    23.277
6450.80    -65.304    22.930
6544.62    -65.822    22.589
6639.82    -66.341    22.252
6736.40    -66.860    21.920
6834.38    -67.379    21.593
6933.79    -67.899    21.271
7034.64    -68.419    20.953
7136.96    -68.941    20.639
7240.77    -69.462    20.330
7346.09    -69.985    20.025
7452.94    -70.507    19.724
7561.35    -71.031    19.428
7671.33    -71.555    19.136
7782.91    -72.080    18.848
7896.12    -72.606    18.563
8010.97    -73.132    18.283
8127.49    -73.659    18.007
8245.71    -74.187    17.734
8365.65    -74.715    17.465
8487.33    -75.245    17.200
8610.78    -75.775    16.939
8736.03    -76.306    16.681
8863.09    -76.838    16.427
8992.01    -77.371    16.176
9122.80    -77.905    15.928
9255.50    -78.440    15.684
9390.12    -78.976    15.443
9526.70    -79.513    15.206
9665.27    -80.051    14.972
9805.86    -80.590    14.740
9948.49    -81.130    14.512
10093.2    -81.672    14.287
10240.0    -82.215    14.065
10388.9    -82.759    13.846
10540.1    -83.304    13.630
10693.4    -83.851    13.417
10848.9    -84.399    13.206
11006.7    -84.948    12.999
11166.8    -85.499    12.794
11329.2    -86.052    12.592
11494.0    -86.606    12.392
11661.2    -87.162    12.195
11830.8    -87.719    12.000
12002.9    -88.279    11.808
12177.5    -88.840    11.619
12354.6    -89.403    11.432
12534.3    -89.968    11.247
12716.6    -90.535    11.065
12901.6    -91.104    10.885
13089.2    -91.675    10.707
13279.6    -92.249    10.531
13472.8    -92.824    10.358
13668.8    -93.403    10.187
13867.6    -93.983    10.018
14069.3    -94.567     9.851
14273.9    -95.153     9.686
14481.5    -95.741     9.523
14692.2    -96.333     9.362
14905.9    -96.927     9.203
15122.7    -97.525     9.046
15342.7    -98.126     8.891
15565.8    -98.730     8.737
15792.2    -99.337     8.586
16021.9    -99.948     8.436
16255.0   -100.563     8.288
16491.4   -101.182     8.142
16731.3   -101.804     7.997
16974.7   -102.431     7.854
17221.6   -103.062     7.712
17472.1   -103.697     7.572
17726.2   -104.338     7.434
17984.0   -104.983     7.297
18245.6   -105.633     7.162
18511.0   -106.288     7.028
18780.2   -106.949     6.896
19053.4   -107.615     6.764
19330.5   -108.288     6.635
19611.7   -108.966     6.506
19897.0   -109.651     6.379
20186.4   -110.343     6.253
20480.0   -111.042     6.129
20777.9   -111.748     6.006
21080.1   -112.462     5.883
21386.7   -113.183     5.762
21697.8   -113.914     5.642
22013.4   -114.653     5.524
22333.6   -115.401     5.406
22658.4   -116.159     5.289
22988.0   -116.927     5.174
23322.4   -117.706     5.059
23661.6   -118.496     4.945
24005.8   -119.297     4.832
24355.0   -120.111     4.720
