Freq[Hz]     dBSPL  Phase[Deg]
134.543      5.884    -5.319
136.500      5.881    -5.393
138.486      5.877    -5.468
140.500      5.874    -5.544
142.544      5.870    -5.621
144.617      5.867    -5.699
146.721      5.863    -5.778
148.855      5.859    -5.858
151.020      5.855    -5.938
153.217      5.851    -6.020
155.445      5.847    -6.103
157.706      5.842    -6.187
160.000      5.838    -6.272
162.327      5.833    -6.358
164.688      5.829    -6.445
167.084      5.824    -6.532
169.514      5.819    -6.621
171.980      5.814    -6.711
174.481      5.809    -6.802
177.019      5.803    -6.895
179.594      5.798    -6.988
182.206      5.792    -7.082
184.856      5.786    -7.177
187.545      5.780    -7.273
190.273      5.774    -7.371
193.041      5.768    -7.469
195.849      5.761    -7.569
198.697      5.755    -7.669
201.587      5.748    -7.771
204.520      5.741    -7.874
207.494      5.734    -7.978
210.512      5.726    -8.082
213.574      5.719    -8.188
216.681      5.711    -8.295
219.833      5.703    -8.403
223.030      5.695    -8.513
226.274      5.687    -8.623
229.565      5.678    -8.734
232.905      5.669    -8.846
236.292      5.660    -8.960
239.729      5.651    -9.074
243.216      5.641    -9.189
246.754      5.632    -9.306
250.343      5.622    -9.423
253.984      5.611    -9.541
257.678      5.601    -9.661
261.426      5.590    -9.781
265.229      5.579    -9.902
269.087      5.568   -10.025
273.001      5.556   -10.148
276.972      5.544   -10.272
281.000      5.532   -10.397
285.088      5.520   -10.523
289.234      5.507   -10.649
293.441      5.494   -10.777
297.709      5.481   -10.905
302.040      5.467   -11.034
306.433      5.453   -11.164
310.890      5.439   -11.294
315.412      5.424   -11.426
320.000      5.409   -11.558
324.655      5.394   -11.690
329.377      5.378   -11.823
334.168      5.362   -11.957
339.028      5.346   -12.091
343.959      5.329   -12.226
348.962      5.312   -12.362
354.038      5.294   -12.497
359.188      5.276   -12.633
364.412      5.258   -12.770
369.713      5.240   -12.906
375.090      5.220   -13.043
380.546      5.201   -13.181
386.081      5.181   -13.318
391.697      5.161   -13.455
397.394      5.140   -13.593
403.175      5.119   -13.730
409.039      5.098   -13.868
414.989      5.076   -14.005
421.025      5.054   -14.142
427.149      5.031   -14.279
433.362      5.008   -14.416
439.665      4.984   -14.552
446.060      4.960   -14.688
452.548      4.935   -14.823
459.131      4.911   -14.958
465.809      4.885   -15.092
472.584      4.859   -15.225
479.458      4.833   -15.358
486.432      4.806   -15.490
493.507      4.779   -15.621
500.686      4.752   -15.751
507.968      4.724   -15.880
515.357      4.695   -16.008
522.853      4.666   -16.135
530.458      4.637   -16.260
538.174      4.607   -16.384
546.002      4.577   -16.507
553.943      4.546   -16.628
562.001      4.515   -16.748
570.175      4.483   -16.866
578.469      4.451   -16.982
586.883      4.419   -17.096
595.419      4.386   -17.209
604.080      4.353   -17.319
612.866      4.319   -17.427
621.780      4.285   -17.534
630.824      4.251   -17.638
640.000      4.216   -17.740
649.309      4.180   -17.839
658.753      4.145   -17.936
668.335      4.109   -18.030
678.056      4.073   -18.122
687.919      4.036   -18.211
697.925      3.999   -18.298
708.077      3.961   -18.382
718.376      3.924   -18.462
728.825      3.886   -18.540
739.426      3.847   -18.615
750.181      3.809   -18.687
761.093      3.770   -18.756
772.163      3.731   -18.821
783.394      3.691   -18.884
794.789      3.651   -18.943
806.349      3.612   -18.998
818.078      3.571   -19.051
829.977      3.531   -19.099
842.050      3.491   -19.145
854.298      3.450   -19.187
866.724      3.409   -19.225
879.330      3.368   -19.260
892.120      3.327   -19.291
905.097      3.286   -19.318
918.262      3.244   -19.342
931.618      3.203   -19.362
945.169      3.161   -19.379
958.917      3.119   -19.391
972.864      3.078   -19.400
987.015      3.036   -19.406
1001.37      2.994   -19.407
1015.94      2.953   -19.405
1030.71      2.911   -19.399
1045.71      2.869   -19.389
1060.92      2.828   -19.376
1076.35      2.786   -19.358
1092.00      2.745   -19.337
1107.89      2.703   -19.313
1124.00      2.662   -19.284
1140.35      2.621   -19.253
1156.94      2.580   -19.217
1173.77      2.539   -19.178
1190.84      2.498   -19.135
1208.16      2.458   -19.089
1225.73      2.418   -19.039
1243.56      2.377   -18.986
1261.65      2.338   -18.930
1280.00      2.298   -18.870
1298.62      2.258   -18.807
1317.51      2.219   -18.741
1336.67      2.180   -18.671
1356.11      2.142   -18.599
1375.84      2.104   -18.523
1395.85      2.066   -18.444
1416.15      2.028   -18.363
1436.75      1.991   -18.278
1457.65      1.954   -18.191
1478.85      1.917   -18.101
1500.36      1.881   -18.009
1522.19      1.845   -17.913
1544.33      1.809   -17.816
1566.79      1.774   -17.716
1589.58      1.739   -17.613
1612.70      1.705   -17.508
1636.16      1.670   -17.401
1659.95      1.637   -17.292
1684.10      1.604   -17.181
1708.60      1.571   -17.068
1733.45      1.538   -16.953
1758.66      1.507   -16.836
1784.24      1.475   -16.717
1810.19      1.444   -16.597
1836.52      1.413   -16.475
1863.24      1.383   -16.352
1890.34      1.353   -16.227
1917.83      1.324   -16.101
1945.73      1.295   -15.974
1974.03      1.267   -15.845
2002.74      1.239   -15.716
2031.87      1.211   -15.585
2061.43      1.184   -15.453
2091.41      1.157   -15.321
2121.83      1.131   -15.187
2152.69      1.105   -15.053
2184.01      1.080   -14.918
2215.77      1.055   -14.783
2248.00      1.031   -14.647
2280.70      1.007   -14.510
2313.87      0.983   -14.374
2347.53      0.960   -14.236
2381.68      0.937   -14.099
2416.32      0.915   -13.961
2451.46      0.893   -13.823
2487.12      0.872   -13.685
2523.30      0.851   -13.547
2560.00      0.830   -13.409
2597.24      0.810   -13.271
2635.01      0.790   -13.133
2673.34      0.771   -12.995
2712.23      0.752   -12.857
2751.68      0.733   -12.720
2791.70      0.715   -12.583
2832.31      0.697   -12.446
2873.50      0.680   -12.310
2915.30      0.662   -12.174
2957.70      0.646   -12.039
3000.72      0.629   -11.904
3044.37      0.613   -11.769
3088.65      0.598   -11.635
3133.58      0.582   -11.502
3179.16      0.567   -11.369
3225.40      0.553   -11.237
3272.31      0.539   -11.106
3319.91      0.525   -10.976
3368.20      0.511   -10.846
3417.19      0.498   -10.717
3466.89      0.485   -10.589
3517.32      0.472   -10.461
3568.48      0.460   -10.335
3620.39      0.447   -10.209
3673.05      0.436   -10.084
3726.47      0.424    -9.960
3780.67      0.413    -9.837
3835.67      0.402    -9.715
3891.46      0.391    -9.594
3948.06      0.381    -9.474
4005.49      0.370    -9.355
4063.75      0.360    -9.236
4122.86      0.351    -9.119
4182.82      0.341    -9.003
4243.66      0.332    -8.888
4305.39      0.323    -8.773
4368.01      0.314    -8.660
4431.55      0.306    -8.548
4496.01      0.297    -8.437
4561.40      0.289    -8.327
4627.75      0.281    -8.218
4695.06      0.273    -8.110
4763.35      0.266    -8.003
4832.64      0.258    -7.897
4902.93      0.251    -7.792
4974.24      0.244    -7.689
5046.60      0.238    -7.586
5120.00      0.231    -7.484
5194.47      0.224    -7.384
5270.03      0.218    -7.284
5346.68      0.212    -7.186
5424.45      0.206    -7.088
5503.35      0.200    -6.992
5583.40      0.195    -6.896
5664.61      0.189    -6.802
5747.01      0.184    -6.709
5830.60      0.179    -6.617
5915.41      0.174    -6.525
6001.45      0.169    -6.435
6088.74      0.164    -6.346
6177.30      0.159    -6.258
6267.15      0.155    -6.171
6358.31      0.150    -6.084
6450.80      0.146    -5.999
6544.62      0.142    -5.915
6639.82      0.138    -5.832
6736.40      0.134    -5.750
6834.38      0.130    -5.668
6933.79      0.126    -5.588
7034.64      0.122    -5.509
7136.96      0.119    -5.430
7240.77      0.115    -5.353
7346.09      0.112    -5.276
7452.94      0.109    -5.200
7561.35      0.105    -5.125
7671.33      0.102    -5.052
7782.91      0.099    -4.979
7896.12      0.096    -4.906
8010.97      0.093    -4.835
8127.49      0.091    -4.765
8245.71      0.088    -4.695
8365.65      0.085    -4.627
8487.33      0.083    -4.559
8610.78      0.080    -4.492
8736.03      0.078    -4.426
8863.09      0.076    -4.360
8992.01      0.073    -4.296
9122.80      0.071    -4.232
9255.50      0.069    -4.169
9390.12      0.067    -4.106
9526.70      0.065    -4.045
9665.27      0.063    -3.984
9805.86      0.061    -3.924
9948.49      0.059    -3.865
10093.2      0.057    -3.807
10240.0      0.055    -3.749
10388.9      0.054    -3.692
10540.1      0.052    -3.635
10693.4      0.050    -3.580
10848.9      0.049    -3.525
11006.7      0.047    -3.470
11166.8      0.046    -3.417
11329.2      0.044    -3.364
11494.0      0.043    -3.311
11661.2      0.042    -3.259
11830.8      0.040    -3.208
12002.9      0.039    -3.158
12177.5      0.038    -3.108
12354.6      0.036    -3.059
12534.3      0.035    -3.010
12716.6      0.034    -2.962
12901.6      0.033    -2.914
13089.2      0.032    -2.867
13279.6      0.031    -2.821
13472.8      0.030    -2.775
13668.8      0.029    -2.730
13867.6      0.028    -2.685
14069.3      0.027    -2.641
14273.9      0.026    -2.597
14481.5      0.025    -2.554
14692.2      0.024    -2.511
14905.9      0.023    -2.469
15122.7      0.022    -2.427
15342.7      0.022    -2.386
15565.8      0.021    -2.345
15792.2      0.020    -2.305
16021.9      0.019    -2.265
16255.0      0.019    -2.225
16491.4      0.018    -2.186
16731.3      0.017    -2.148
16974.7      0.017    -2.110
17221.6      0.016    -2.072
17472.1      0.015    -2.035
17726.2      0.015    -1.998
17984.0      0.014    -1.961
18245.6      0.014    -1.925
18511.0      0.013    -1.889
18780.2      0.013    -1.854
19053.4      0.012    -1.819
19330.5      0.012    -1.784
19611.7      0.011    -1.750
19897.0      0.011    -1.716
20186.4      0.010    -1.682
20480.0      0.010    -1.649
20777.9      0.009    -1.616
21080.1      0.009    -1.583
21386.7      0.009    -1.550
21697.8      0.008    -1.518
22013.4      0.008    -1.486
22333.6      0.007    -1.455
22658.4      0.007    -1.424
22988.0      0.007    -1.393
23322.4      0.006    -1.362
23661.6      0.006    -1.331
24005.8      0.006    -1.301
24355.0      0.005    -1.271
24709.2      0.005    -1.241
25068.6      0.005    -1.211
25433.2      0.004    -1.182
25803.2      0.004    -1.153
26178.5      0.004    -1.124
26559.3      0.004    -1.095
26945.6      0.003    -1.066
27337.5      0.003    -1.038
27735.2      0.003    -1.010
28138.6      0.003    -0.981
28547.9      0.003    -0.953
28963.1      0.002    -0.926
29384.4      0.002    -0.898
29811.8      0.002    -0.870
30245.4      0.002    -0.843
30685.3      0.002    -0.815
31131.7      0.001    -0.788
31584.5      0.001    -0.761
32043.9      0.001    -0.734
32510.0      0.001    -0.707
32982.8      0.001    -0.679
33462.6      0.001    -0.652
33949.3      0.000    -0.626
34443.1      0.000    -0.599
34944.1      0.000    -0.572
35452.4      0.000    -0.545
35968.0      0.000    -0.518
36491.2      0.000    -0.491
37022.0      0.000    -0.464
37560.5      0.000    -0.437
38106.8      0.000    -0.409
38661.1     -0.001    -0.382
39223.4     -0.001    -0.355
39793.9     -0.001    -0.327
