Freq[Hz]     dBSPL  Phase[Deg]
177.019     80.261     5.563
179.594     80.269     5.634
182.206     80.276     5.705
184.856     80.284     5.777
187.545     80.292     5.849
190.273     80.301     5.922
193.041     80.309     5.996
195.849     80.318     6.070
198.697     80.327     6.144
201.587     80.336     6.219
204.520     80.345     6.295
207.494     80.355     6.371
210.512     80.365     6.447
213.574     80.375     6.524
216.681     80.386     6.601
219.833     80.397     6.678
223.030     80.408     6.756
226.274     80.419     6.835
229.565     80.431     6.913
232.905     80.443     6.992
236.292     80.455     7.071
239.729     80.468     7.150
243.216     80.481     7.229
246.754     80.494     7.309
250.343     80.507     7.388
253.984     80.521     7.468
257.678     80.536     7.547
261.426     80.550     7.626
265.229     80.565     7.706
269.087     80.581     7.785
273.001     80.596     7.864
276.972     80.612     7.943
281.000     80.629     8.021
285.088     80.646     8.099
289.234     80.663     8.176
293.441     80.681     8.253
297.709     80.699     8.330
302.040     80.718     8.406
306.433     80.737     8.480
310.890     80.756     8.555
315.412     80.776     8.628
320.000     80.797     8.700
324.655     80.817     8.771
329.377     80.839     8.841
334.168     80.861     8.910
339.028     80.883     8.977
343.959     80.906     9.043
348.962     80.929     9.107
354.038     80.952     9.169
359.188     80.977     9.230
364.412     81.001     9.289
369.713     81.027     9.345
375.090     81.052     9.399
380.546     81.079     9.451
386.081     81.105     9.501
391.697     81.133     9.548
397.394     81.160     9.592
403.175     81.189     9.633
409.039     81.217     9.671
414.989     81.247     9.705
421.025     81.276     9.737
427.149     81.307     9.765
433.362     81.337     9.789
439.665     81.369     9.809
446.060     81.400     9.825
452.548     81.432     9.836
459.131     81.465     9.843
465.809     81.498     9.846
472.584     81.532     9.843
479.458     81.566     9.836
486.432     81.600     9.823
493.507     81.635     9.805
500.686     81.670     9.781
507.968     81.706     9.752
515.357     81.741     9.716
522.853     81.778     9.674
530.458     81.814     9.626
538.174     81.851     9.571
546.002     81.888     9.509
553.943     81.925     9.441
562.001     81.962     9.365
570.175     81.999     9.281
578.469     82.037     9.191
586.883     82.074     9.092
595.419     82.112     8.986
604.080     82.150     8.871
612.866     82.187     8.749
621.780     82.224     8.618
630.824     82.261     8.479
640.000     82.298     8.331
649.309     82.335     8.175
658.753     82.371     8.010
668.335     82.407     7.836
678.056     82.442     7.654
687.919     82.477     7.463
697.925     82.512     7.263
708.077     82.545     7.054
718.376     82.578     6.837
728.825     82.610     6.611
739.426     82.642     6.377
750.181     82.672     6.135
761.093     82.702     5.884
772.163     82.730     5.625
783.394     82.757     5.359
794.789     82.783     5.084
806.349     82.808     4.803
818.078     82.832     4.515
829.977     82.854     4.220
842.050     82.875     3.918
854.298     82.894     3.611
866.724     82.912     3.298
879.330     82.929     2.980
892.120     82.943     2.657
905.097     82.956     2.331
918.262     82.968     2.000
931.618     82.977     1.666
945.169     82.985     1.330
958.917     82.991     0.991
972.864     82.996     0.651
987.015     82.998     0.309
1001.37     82.999    -0.032
1015.94     82.998    -0.374
1030.71     82.995    -0.715
1045.71     82.990    -1.056
1060.92     82.984    -1.394
1076.35     82.976    -1.730
1092.00     82.966    -2.063
1107.89     82.954    -2.393
1124.00     82.941    -2.720
1140.35     82.926    -3.041
1156.94     82.909    -3.359
1173.77     82.891    -3.671
1190.84     82.871    -3.977
1208.16     82.850    -4.277
1225.73     82.827    -4.571
1243.56     82.804    -4.858
1261.65     82.778    -5.139
1280.00     82.752    -5.411
1298.62     82.724    -5.677
1317.51     82.696    -5.934
1336.67     82.666    -6.183
1356.11     82.636    -6.425
1375.84     82.604    -6.657
1395.85     82.572    -6.882
1416.15     82.539    -7.097
1436.75     82.505    -7.304
1457.65     82.470    -7.503
1478.85     82.435    -7.692
1500.36     82.400    -7.873
1522.19     82.364    -8.045
1544.33     82.327    -8.208
1566.79     82.291    -8.363
1589.58     82.254    -8.509
1612.70     82.216    -8.647
1636.16     82.179    -8.776
1659.95     82.141    -8.897
1684.10     82.104    -9.010
1708.60     82.066    -9.115
1733.45     82.029    -9.212
1758.66     81.991    -9.301
1784.24     81.954    -9.383
1810.19     81.916    -9.457
1836.52     81.879    -9.524
1863.24     81.842    -9.585
1890.34     81.805    -9.638
1917.83     81.769    -9.685
1945.73     81.733    -9.725
1974.03     81.697    -9.760
2002.74     81.661    -9.788
2031.87     81.626    -9.810
2061.43     81.591    -9.827
2091.41     81.557    -9.838
2121.83     81.523    -9.845
2152.69     81.489    -9.846
2184.01     81.456    -9.842
2215.77     81.424    -9.833
2248.00     81.392    -9.821
2280.70     81.360    -9.803
2313.87     81.329    -9.782
2347.53     81.298    -9.757
2381.68     81.268    -9.728
2416.32     81.238    -9.696
2451.46     81.209    -9.660
2487.12     81.180    -9.621
2523.30     81.152    -9.578
2560.00     81.124    -9.533
2597.24     81.097    -9.485
2635.01     81.070    -9.435
2673.34     81.044    -9.382
2712.23     81.018    -9.326
2751.68     80.993    -9.269
2791.70     80.968    -9.209
2832.31     80.944    -9.148
2873.50     80.920    -9.084
2915.30     80.897    -9.019
2957.70     80.875    -8.952
3000.72     80.852    -8.884
3044.37     80.831    -8.815
3088.65     80.809    -8.744
3133.58     80.788    -8.672
3179.16     80.768    -8.598
3225.40     80.748    -8.524
3272.31     80.729    -8.449
3319.91     80.710    -8.373
3368.20     80.691    -8.297
3417.19     80.673    -8.219
3466.89     80.655    -8.141
3517.32     80.638    -8.063
3568.48     80.621    -7.984
3620.39     80.605    -7.905
3673.05     80.589    -7.825
3726.47     80.573    -7.745
3780.67     80.557    -7.665
3835.67     80.542    -7.585
3891.46     80.528    -7.505
3948.06     80.514    -7.424
4005.49     80.500    -7.344
4063.75     80.486    -7.263
4122.86     80.473    -7.183
4182.82     80.460    -7.103
4243.66     80.448    -7.023
4305.39     80.435    -6.943
4368.01     80.423    -6.863
4431.55     80.412    -6.784
4496.01     80.400    -6.704
4561.40     80.389    -6.626
4627.75     80.379    -6.547
4695.06     80.368    -6.469
4763.35     80.358    -6.391
4832.64     80.348    -6.314
4902.93     80.338    -6.237
4974.24     80.329    -6.160
5046.60     80.320    -6.084
5120.00     80.311    -6.009
5194.47     80.302    -5.934
5270.03     80.293    -5.859
5346.68     80.285    -5.785
5424.45     80.277    -5.712
5503.35     80.269    -5.639
5583.40     80.262    -5.567
5664.61     80.254    -5.495
5747.01     80.247    -5.424
5830.60     80.240    -5.353
5915.41     80.233    -5.283
6001.45     80.226    -5.214
6088.74     80.220    -5.145
6177.30     80.214    -5.077
6267.15     80.208    -5.009
6358.31     80.202    -4.942
6450.80     80.196    -4.876
6544.62     80.190    -4.810
6639.82     80.185    -4.745
6736.40     80.179    -4.681
6834.38     80.174    -4.617
6933.79     80.169    -4.554
7034.64     80.164    -4.492
7136.96     80.159    -4.430
7240.77     80.155    -4.369
7346.09     80.150    -4.308
7452.94     80.146    -4.248
