Freq[Hz]     dBSPL  Phase[Deg]
151.020     65.886  -162.408
153.217     65.948  -167.071
155.445     66.009  -171.768
157.706     66.071  -176.550
160.000     66.122   178.555
162.327     66.138   173.567
164.688     66.100   168.567
167.084     66.008   163.677
169.514     65.881   158.993
171.980     65.746   154.550
174.481     65.621   150.340
177.019     65.504   146.316
179.594     65.386   142.454
182.206     65.268   138.765
184.856     65.165   135.249
187.545     65.100   131.864
190.273     65.079   128.536
193.041     65.089   125.176
195.849     65.110   121.741
198.697     65.131   118.245
201.587     65.164   114.737
204.520     65.226   111.238
207.494     65.320   107.667
210.512     65.434   103.884
213.574     65.544    99.830
216.681     65.622    95.593
219.833     65.662    91.320
223.030     65.673    87.102
226.274     65.675    82.983
229.565     65.688    78.951
232.905     65.722    74.926
236.292     65.772    70.807
239.729     65.818    66.550
243.216     65.828    62.214
246.754     65.782    57.934
250.343     65.692    53.841
253.984     65.603    49.993
257.678     65.553    46.342
261.426     65.546    42.777
265.229     65.554    39.159
269.087     65.559    35.421
273.001     65.556    31.604
276.972     65.532    27.829
281.000     65.476    24.217
285.088     65.409    20.810
289.234     65.380    17.551
293.441     65.424    14.289
297.709     65.529    10.804
302.040     65.648     6.928
306.433     65.723     2.690
310.890     65.707    -1.667
315.412     65.594    -5.854
320.000     65.437    -9.739
324.655     65.316   -13.330
329.377     65.234   -16.653
334.168     65.142   -19.738
339.028     65.036   -22.673
343.959     64.982   -25.512
348.962     65.009   -28.327
354.038     65.080   -31.307
359.188     65.146   -34.532
364.412     65.162   -37.794
369.713     65.116   -40.846
375.090     65.077   -43.679
380.546     65.153   -46.477
386.081     65.362   -49.469
391.697     65.578   -52.889
397.394     65.703   -56.730
403.175     65.761   -60.693
409.039     65.827   -64.762
414.989     65.931   -68.855
421.025     66.003   -72.810
427.149     66.004   -76.696
433.362     66.015   -80.591
439.665     66.100   -84.513
446.060     66.261   -88.801
452.548     66.432   -93.598
459.131     66.464   -98.543
465.809     66.298  -103.213
472.584     66.085  -107.521
479.458     66.026  -111.587
486.432     66.152  -115.822
493.507     66.259  -120.873
500.686     66.217  -127.351
507.968     66.169  -132.214
515.357     66.103  -136.948
522.853     66.032  -141.476
530.458     65.974  -145.794
538.174     65.968  -149.934
546.002     66.032  -154.151
553.943     66.136  -158.890
562.001     66.213  -164.210
570.175     66.225  -169.807
578.469     66.181  -175.476
586.883     66.070   178.893
595.419     65.892   173.769
604.080     65.738   169.417
612.866     65.708   165.389
621.780     65.781   160.874
630.824     65.867   155.636
640.000     65.907   149.885
649.309     65.894   144.028
658.753     65.852   138.247
668.335     65.795   132.482
678.056     65.745   126.701
687.919     65.710   120.871
697.925     65.684   114.906
708.077     65.672   109.040
718.376     65.703   103.073
728.825     65.766    96.917
739.426     65.850    90.433
750.181     65.964    83.511
761.093     66.070    76.087
772.163     66.141    68.229
783.394     66.181    59.954
794.789     66.176    51.365
806.349     66.117    42.537
818.078     66.010    33.544
829.977     65.859    24.471
842.050     65.669    15.376
854.298     65.457     6.287
866.724     65.243    -2.727
879.330     65.040   -11.667
892.120     64.862   -20.513
905.097     64.730   -29.313
918.262     64.654   -38.099
931.618     64.641   -46.972
945.169     64.688   -55.989
958.917     64.788   -65.304
972.864     64.928   -75.014
987.015     65.094   -85.155
1001.37     65.276   -95.698
1015.94     65.459  -106.559
1030.71     65.630  -117.653
1045.71     65.766  -128.863
1060.92     65.853  -140.066
1076.35     65.900  -151.106
1092.00     65.903  -161.892
1107.89     65.866  -172.363
1124.00     65.819   177.580
1140.35     65.771   167.951
1156.94     65.723   158.722
1173.77     65.670   149.854
1190.84     65.602   141.261
1208.16     65.520   132.894
1225.73     65.433   124.847
1243.56     65.359   117.204
1261.65     65.312   109.993
1280.00     65.295   103.156
1298.62     65.325    96.557
1317.51     65.421    90.032
