Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.405
5.07273     -0.001    -0.411
5.14651     -0.001    -0.417
5.22137     -0.001    -0.423
5.29732     -0.001    -0.429
5.37437     -0.001    -0.435
5.45254     -0.001    -0.442
5.53185     -0.001    -0.448
5.61231     -0.001    -0.455
5.69394     -0.001    -0.461
5.77676     -0.001    -0.468
5.86079     -0.001    -0.475
5.94604     -0.001    -0.482
6.03252     -0.001    -0.489
6.12027     -0.001    -0.496
6.20929     -0.001    -0.503
6.29961     -0.001    -0.510
6.39124     -0.001    -0.518
6.48420     -0.001    -0.525
6.57851     -0.001    -0.533
6.67420     -0.001    -0.541
6.77128     -0.001    -0.548
6.86977     -0.001    -0.556
6.96969     -0.001    -0.565
7.07107     -0.001    -0.573
7.17392     -0.001    -0.581
7.27827     -0.001    -0.590
7.38413     -0.001    -0.598
7.49154     -0.001    -0.607
7.60050     -0.001    -0.616
7.71105     -0.001    -0.625
7.82321     -0.001    -0.634
7.93701     -0.001    -0.643
8.05245     -0.001    -0.652
8.16958     -0.001    -0.662
8.28841     -0.001    -0.671
8.40896     -0.001    -0.681
8.53128     -0.001    -0.691
8.65537     -0.001    -0.701
8.78126     -0.001    -0.711
8.90899     -0.001    -0.722
9.03857     -0.001    -0.732
9.17004     -0.001    -0.743
9.30342     -0.001    -0.754
9.43874     -0.001    -0.765
9.57603     -0.001    -0.776
9.71532     -0.001    -0.787
9.85663     -0.001    -0.798
10.0000     -0.001    -0.810
10.1455     -0.001    -0.822
10.2930     -0.001    -0.834
10.4427     -0.001    -0.846
10.5946     -0.001    -0.858
10.7487     -0.001    -0.871
10.9051     -0.001    -0.883
11.0637     -0.001    -0.896
11.2246     -0.001    -0.909
11.3879     -0.001    -0.922
11.5535     -0.001    -0.936
11.7216     -0.001    -0.949
11.8921     -0.001    -0.963
12.0650     -0.001    -0.977
12.2405     -0.001    -0.992
12.4186     -0.001    -1.006
12.5992     -0.001    -1.021
12.7825     -0.001    -1.035
12.9684     -0.001    -1.050
13.1570     -0.001    -1.066
13.3484     -0.001    -1.081
13.5426     -0.001    -1.097
13.7395     -0.001    -1.113
13.9394     -0.001    -1.129
14.1421     -0.001    -1.146
14.3478     -0.001    -1.162
14.5565     -0.001    -1.179
14.7683     -0.001    -1.196
14.9831     -0.001    -1.214
15.2010     -0.001    -1.231
15.4221     -0.001    -1.249
15.6464     -0.001    -1.267
15.8740     -0.001    -1.286
16.1049     -0.001    -1.305
16.3392     -0.001    -1.324
16.5768     -0.001    -1.343
16.8179     -0.001    -1.362
17.0626     -0.001    -1.382
17.3107     -0.001    -1.402
17.5625     -0.001    -1.423
17.8180     -0.001    -1.443
18.0771     -0.001    -1.464
18.3401     -0.001    -1.486
18.6068     -0.001    -1.507
18.8775     -0.001    -1.529
19.1521     -0.001    -1.551
19.4306     -0.001    -1.574
19.7133     -0.001    -1.597
20.0000     -0.001    -1.620
20.2909     -0.001    -1.644
20.5860     -0.001    -1.668
20.8855     -0.001    -1.692
21.1893     -0.001    -1.717
21.4975     -0.001    -1.742
21.8102     -0.001    -1.767
22.1274     -0.001    -1.793
22.4492     -0.001    -1.819
22.7758     -0.001    -1.845
23.1071     -0.001    -1.872
23.4432     -0.001    -1.899
23.7841     -0.001    -1.927
24.1301     -0.001    -1.955
24.4811     -0.001    -1.983
24.8372     -0.001    -2.012
25.1984     -0.001    -2.041
25.5649     -0.001    -2.071
25.9368     -0.001    -2.101
26.3141     -0.001    -2.132
26.6968     -0.001    -2.163
27.0851     -0.001    -2.194
27.4791     -0.001    -2.226
27.8788     -0.001    -2.259
28.2843     -0.001    -2.292
28.6957     -0.001    -2.325
29.1131     -0.001    -2.359
29.5365     -0.001    -2.393
29.9661     -0.001    -2.428
30.4020     -0.001    -2.463
30.8442     -0.001    -2.499
31.2929     -0.001    -2.536
31.7480     -0.001    -2.572
32.2098     -0.001    -2.610
32.6783     -0.001    -2.648
33.1536     -0.001    -2.686
